level,setting,identifier,record_count,even_share,vs_even
spark_partition,2,0,23865,26025.0,0.917
spark_partition,2,1,28185,26025.0,1.083
spark_partition,4,0,23865,13012.5,1.834
spark_partition,4,1,15487,13012.5,1.19
spark_partition,4,2,0,13012.5,0.0
spark_partition,4,3,12698,13012.5,0.976
spark_partition,8,0,0,6506.2,0.0
spark_partition,8,1,0,6506.2,0.0
spark_partition,8,2,0,6506.2,0.0
spark_partition,8,3,0,6506.2,0.0
spark_partition,8,4,23865,6506.2,3.668
spark_partition,8,5,15487,6506.2,2.38
spark_partition,8,6,0,6506.2,0.0
spark_partition,8,7,12698,6506.2,1.952
partition_key,category,Classic,15487,13012.5,1.19
partition_key,category,Supreme,12698,13012.5,0.976
partition_key,category,Veggie,12392,13012.5,0.952
partition_key,category,Chicken,11473,13012.5,0.882
